global_step,epoch,step_in_epoch,lr,loss,acc1,acc5,,,,
223,2,6,0.00003969,4.527344,0.05,0.05,,,,
224,2,7,0.00003969,4.846777,0,0,,,,
225,2,8,0.00003969,4.861621,0,0.1,,,,
226,2,9,0.00003969,5.057617,0,0.1,,,,
227,2,10,0.00003968,5.11582,0,0,,,,
228,2,11,0.00003968,4.972754,0,0,,,,
229,2,12,0.00003968,4.759668,0,0.05,,,,
230,2,13,0.00003968,4.955274,0,0.05,,,,
231,2,14,0.00003968,4.742383,0.05,0.1,,,,
232,2,15,0.00003968,4.705469,0.1,0.15,,,,
233,2,16,0.00003968,4.708789,0.05,0.05,,,,
234,2,17,0.00003968,4.612597,0,0.1,,,,
235,2,18,0.00003968,5.004395,0,0.05,,,,
236,2,19,0.00003967,4.758399,0,0,,,,
237,2,20,0.00003967,4.868555,0,0,,,,
238,2,21,0.00003967,4.828516,0.05,0.1,,,,
239,2,22,0.00003967,4.922071,0,0.05,,,,
240,2,23,0.00003967,4.776074,0,0.05,,,,
241,2,24,0.00003967,4.610254,0,0.1,,,,
242,2,25,0.00003967,4.934668,0,0.05,,,,
243,2,26,0.00003967,4.571485,0,0.05,,,,
244,2,27,0.00003967,4.84375,0,0.15,,,,
245,2,28,0.00003966,4.835059,0,0,,,,
246,2,29,0.00003966,4.864746,0.05,0.05,,,,
247,2,30,0.00003966,4.770898,0,0.05,,,,
248,2,31,0.00003966,5.047852,0,0,,,,
249,2,32,0.00003966,4.822656,0,0.05,,,,
250,2,33,0.00003966,4.493457,0,0.05,,,,
251,2,34,0.00003966,4.741211,0.05,0.1,,,,
252,2,35,0.00003966,4.963867,0,0.1,,,,
253,2,36,0.00003965,4.941406,0,0.05,,,,
254,2,37,0.00003965,4.64209,0.05,0.15,,,,
255,2,38,0.00003965,4.827832,0,0.1,,,,
256,2,39,0.00003965,4.848047,0.05,0.1,,,,
257,2,40,0.00003965,4.853418,0,0.05,,,,
258,2,41,0.00003965,4.851758,0,0,,,,
259,2,42,0.00003965,4.863281,0,0,,,,
260,2,43,0.00003965,4.780469,0,0.05,,,,
261,2,44,0.00003965,4.755469,0,0,,,,
262,2,45,0.00003964,5.014356,0,0,,,,
263,2,46,0.00003964,4.604004,0,0.15,,,,
264,2,47,0.00003964,4.934961,0,0.05,,,,
265,2,48,0.00003964,4.969434,0,0.05,,,,
266,2,49,0.00003964,4.889648,0,0.05,,,,
267,2,50,0.00003964,4.780078,0,0,,,,
268,2,51,0.00003964,4.789453,0.05,0.15,,,,
269,2,52,0.00003964,4.661523,0,0.15,,,,
270,2,53,0.00003963,4.836524,0,0,,,,
271,2,54,0.00003963,4.908789,0,0,,,,
272,2,55,0.00003963,4.694434,0.05,0.1,,,,
273,2,56,0.00003963,4.939355,0,0.05,,,,
274,2,57,0.00003963,4.846387,0,0.1,,,,
275,2,58,0.00003963,4.751465,0.05,0.1,,,,
276,2,59,0.00003963,5.091211,0,0,,,,
277,2,60,0.00003963,4.735254,0,0.1,,,,
278,2,61,0.00003962,4.913672,0,0.1,,,,
279,2,62,0.00003962,4.939844,0,0.05,,,,
280,2,63,0.00003962,5.095801,0,0,,,,
281,2,64,0.00003962,4.963965,0,0,,,,
282,2,65,0.00003962,5.238672,0,0,,,,
283,2,66,0.00003962,4.787207,0,0.1,,,,
284,2,67,0.00003962,4.918555,0,0,,,,
285,2,68,0.00003962,4.703711,0,0.15,,,,
286,2,69,0.00003961,4.766894,0,0.05,,,,
287,2,70,0.00003961,4.822656,0,0,,,,
288,2,71,0.00003961,4.963379,0.05,0.05,,,,
289,2,72,0.00003961,4.961816,0,0.05,,,,
290,2,73,0.00003961,4.957617,0,0.05,,,,
291,2,74,0.00003961,4.656641,0,0.2,,,,
292,2,75,0.00003961,4.992969,0,0,,,,
293,2,76,0.00003961,4.89707,0.05,0.05,,,,
294,2,77,0.0000396,4.647851,0,0.1,,,,
295,2,78,0.0000396,4.622363,0.05,0.1,,,,
296,2,79,0.0000396,4.813672,0,0.1,,,,
297,2,80,0.0000396,5.066602,0,0,,,,
298,2,81,0.0000396,4.800097,0,0.05,,,,
299,2,82,0.0000396,4.786328,0,0,,,,
300,2,83,0.0000396,4.987597,0,0.05,,,,
301,2,84,0.0000396,5.008008,0,0,,,,
302,2,85,0.00003959,4.859571,0,0,,,,
303,2,86,0.00003959,4.922461,0,0.05,,,,
304,2,87,0.00003959,4.93418,0,0,,,,
305,2,88,0.00003959,4.850684,0,0.05,,,,
306,2,89,0.00003959,4.891602,0,0.05,,,,
307,2,90,0.00003959,4.982812,0,0,,,,
308,2,91,0.00003959,5.038672,0,0,,,,
309,2,92,0.00003959,4.673047,0,0.05,,,,
310,2,93,0.00003958,4.735254,0,0.1,,,,
311,2,94,0.00003958,4.582617,0,0.05,,,,
312,2,95,0.00003958,4.763281,0,0,,,,
313,2,96,0.00003958,4.659082,0,0.15,,,,
314,2,97,0.00003958,4.844824,0,0.05,,,,
315,2,98,0.00003958,4.864062,0,0.05,,,,
316,2,99,0.00003958,4.614551,0.05,0.2,,,,
317,2,100,0.00003958,5.079394,0,0.05,,,,
318,2,101,0.00003957,4.915625,0,0,,,,
319,2,102,0.00003957,4.737012,0,0,,,,
320,2,103,0.00003957,5.072168,0,0,,,,
321,2,104,0.00003957,4.738379,0,0.1,,,,
322,2,105,0.00003957,4.610254,0.05,0.1,,,,
323,2,106,0.00003957,4.728613,0,0.05,,,,
324,2,107,0.00003957,4.745508,0,0.05,,,,
325,2,108,0.00003956,5.121387,0,0.05,,,,
326,2,109,0.00003956,4.895312,0,0,,,,
327,2,110,0.00003956,4.6625,0.1,0.2,,,,
328,2,111,0.00003956,4.606055,0,0.05,,,,
329,2,112,0.00003956,4.677246,0,0.15,,,,
330,2,113,0.00003956,4.715039,0,0,,,,
331,2,114,0.00003956,4.996289,0,0,,,,
332,2,115,0.00003956,5.161035,0,0,,,,
333,2,116,0.00003955,4.862207,0,0.05,,,,
334,2,117,0.00003955,4.592773,0,0.1,,,,
335,2,118,0.00003955,4.755469,0.05,0.05,,,,
336,2,119,0.00003955,4.57002,0,0.1,,,,
337,2,120,0.00003955,5.156152,0,0,,,,
338,2,121,0.00003955,4.77373,0.05,0.05,,,,
